Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
lr:0.001
lr:0.0001
Namespace(GPU_id='0', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES/', dataset='CUHK-PEDES', device=device(type='cuda', index=0), epoch=60, epoch_begin=5, epoch_decay=[20, 40], feature_length=1024, lr=0.001, margin=0.2, mode='train', model_name='SSAN', part=6, save_path='./checkpoints/CUHK-PEDES/SSAN', vocab_size=5000)
lr:0.001
lr:0.0001
Epoch: 1/60 Setp: 50, ranking_loss: 27.00, id_loss: 41.87
Epoch: 1/60 Setp: 100, ranking_loss: 25.60, id_loss: 40.60
Epoch: 1/60 Setp: 150, ranking_loss: 23.84, id_loss: 38.67
Epoch: 1/60 Setp: 200, ranking_loss: 22.09, id_loss: 38.34
Epoch: 1/60 Setp: 250, ranking_loss: 20.18, id_loss: 37.80
Epoch: 1/60 Setp: 300, ranking_loss: 21.84, id_loss: 36.15
Epoch: 1/60 Setp: 350, ranking_loss: 20.38, id_loss: 34.98
Epoch: 1/60 Setp: 400, ranking_loss: 17.99, id_loss: 34.02
Epoch: 1/60 Setp: 450, ranking_loss: 18.64, id_loss: 34.72
Epoch: 1/60 Setp: 500, ranking_loss: 16.01, id_loss: 29.28
Epoch: 1/60 Setp: 550, ranking_loss: 17.05, id_loss: 31.62
Epoch: 1/60 Setp: 600, ranking_loss: 18.62, id_loss: 29.14
Epoch: 1/60 Setp: 650, ranking_loss: 15.69, id_loss: 26.95
Epoch: 1/60 Setp: 700, ranking_loss: 16.19, id_loss: 27.89
Epoch: 1/60 Setp: 750, ranking_loss: 13.90, id_loss: 29.33
Epoch: 1/60 Setp: 800, ranking_loss: 15.34, id_loss: 28.03
Epoch: 1/60 Setp: 850, ranking_loss: 17.35, id_loss: 26.03
Epoch: 1/60 Setp: 900, ranking_loss: 14.71, id_loss: 26.54
Epoch: 1/60 Setp: 950, ranking_loss: 14.74, id_loss: 26.28
Epoch: 1/60 Setp: 1000, ranking_loss: 12.91, id_loss: 26.40
Epoch: 1/60 Setp: 1050, ranking_loss: 12.70, id_loss: 25.59
Epoch: 1/60 , ranking_loss: 18.40, id_loss: 32.30
lr:0.001
lr:0.0001
Epoch: 2/60 Setp: 50, ranking_loss: 13.07, id_loss: 23.87
Epoch: 2/60 Setp: 100, ranking_loss: 13.85, id_loss: 22.42
Epoch: 2/60 Setp: 150, ranking_loss: 11.45, id_loss: 22.71
Epoch: 2/60 Setp: 200, ranking_loss: 12.61, id_loss: 22.30
Epoch: 2/60 Setp: 250, ranking_loss: 11.47, id_loss: 20.67
Epoch: 2/60 Setp: 300, ranking_loss: 12.28, id_loss: 21.97
Epoch: 2/60 Setp: 350, ranking_loss: 11.61, id_loss: 22.23
Epoch: 2/60 Setp: 400, ranking_loss: 10.97, id_loss: 21.24
Epoch: 2/60 Setp: 450, ranking_loss: 12.75, id_loss: 20.07
Epoch: 2/60 Setp: 500, ranking_loss: 12.24, id_loss: 20.69
Epoch: 2/60 Setp: 550, ranking_loss: 11.22, id_loss: 20.52
Epoch: 2/60 Setp: 600, ranking_loss: 12.99, id_loss: 20.17
Epoch: 2/60 Setp: 650, ranking_loss: 11.44, id_loss: 18.53
Epoch: 2/60 Setp: 700, ranking_loss: 12.37, id_loss: 20.12
